BITSLC0101	进口信用证/保兑开立登记
BITSIC0510	进口代收拒付取消记账
BITSTP0001	转让证来单其他登记
BITSLC0110	进口信用证/保兑开立取消记账
BITSLP0408	来单修改审批3
BITSFT0104	国内证卖方福费廷买断放款经办
BITSAF0101	协议融资录入登记
BITSFC0202	国际保理争议处理/解决登记复核
BITSCP0309	出口保兑释放提交记账
BITSLC0401	进口信用证预开立登记
BITSFC0105	国际保理争议通知复核
BITSLP0208	来单付款审批3
BITSLD0503	国内证来单付款确认修改登记补录入
BITSLD0109	国内证来单录入提交记账
BITSLD0707	国内证来单拒付/退单/放单审批2
BITSLG0105	国际对外担保/备用证开立复核
BITSEF0102	出口保理额度预/正式申请/催复登记复核
BITSEF0810	出口保理间接付款/反转让取消记账
BITSDP0308	国内证代理付款还款审批3
BITSLG0501	预留业务编号登记
BITSGP0305	国际对外担保/备用证来单拒付/退单/撤销复核
BITSCP0206	出口保兑修改审批1
BITSTP0204	转让证来单修改经办
BITSAP0304	协议付款闭卷经办
BITSDC0304	国内信用证撤证/闭卷经办
BITSIP0301	出口发票融资还款登记
BITSXT0101	国内证通知录入登记
BITSAP0105	协议付款录入复核
BITSSF0108	出口押汇放款审批3
BITSSY0208	国内证卖方押汇宽限审批3
BITSLG0201	国际对外担保/备用证修改登记
BITSCP0401	出口保兑查询
BITSLA0001	出口信用证其他登记
BITSGP0410	国际对外担保/备用证付款取消记账
BITSLC0302	进口信用证/保兑撤证/闭卷登记复核
BITSLP0110	来单录入取消记账
BITSTP0408	转让证来单闭卷审批3
BITSBP0501	出口议付退单放单闭卷登记
BITSSF0301	出口押汇还款登记
BITSDP0110	国内证代理付款放款取消记账
BITSDC0305	国内信用证撤证/闭卷复核
BITSXT0303	国内证通知修改确认登记补录入
BITSFB0108	其他贸易融资（出资）放款审批3
BITSAP0102	协议付款录入登记复核
BITSEF0602	出口保理收汇登记复核
BITSFB0208	其他贸易融资（出资）宽限审批3
BITSBP0304	出口议付修改经办
BITSLP0003	来单其他登记补录入
BITSCP0101	出口保兑录入登记
BITSFQ0106	国内证卖方福费廷转卖录入审批1
BITSSY0104	国内证卖方押汇放款经办
BITSLP0801	进口信用证来单查询
BITSGP0304	国际对外担保/备用证来单拒付/退单/撤销经办
BITSSF0204	出口押汇宽限经办
BITSCM0309	通用额度提用归还取消记账
BITSXT0310	国内证通知修改确认取消记账
BITSLP0704	来单拒付/退单/放单经办
BITSNF0110	无追索权出口保理应收账款买断放款取消记账
BITSPF0108	出口保理预付融资录入审批3
BITSLP0708	来单拒付/退单/放单审批3
BITSDC0206	国内信用证修改/修改确认审批1
BITSTP0406	转让证来单闭卷审批1
BITSDF0308	国内证代付还款审批3
BITSBF0306	进口押汇还款审批1
BITSTP0309	转让证来单付款提交记账
BITSSF0107	出口押汇放款审批2
BITSFA0101	其他贸易融资（非出资）录入登记
BITSDF0207	国内证代付延展审批2
BITSIF0401	进口保理发票转让登记
BITSDC0402	国内信用证预开立登记复核
BITSXT0301	国内证通知修改确认登记
BITSTP0201	转让证来单修改登记
BITSLC0208	进口信用证/保兑修改/修改确认审批3
BITSLG0309	国际对外担保/备用证撤销/闭卷提交记账
BITSTP0107	转让证来单录入审批2
BITSTP0404	转让证来单闭卷经办
BITSNF0101	无追索权出口保理应收账款买断放款登记
BITSSG0308	国内涉外担保撤销/闭卷审批3
BITSAF0105	协议融资录入复核
BITSNF0107	无追索权出口保理应收账款买断放款审批2
BITSFB0102	其他贸易融资（出资）放款登记复核
BITSSP0102	国内涉外担保来单录入登记复核
BITSFB0306	其他贸易融资（出资）还款审批1
BITSIC0101	进口代收录入登记
BITSLD0201	国内证来单付款登记
BITSBY0204	国内证买方押汇展期经办
BITSLT0208	转让证修改审批3
BITSPO0205	出口订单融资展期复核
BITSAF0307	协议融资闭卷审批2
BITSBF0209	进口押汇展期提交记账
BITSEF0310	出口保理额度确认取消记账
BITSEF0704	出口保理发票催收经办
BITSPO0209	出口订单融资展期提交记账
BITSSO0102	福费廷转卖录入登记复核
BITSFF0104	有追索权出口保理融资放款经办
BITSDF0102	国内证代付放款登记复核
BITSRD0306	国内证卖方风险参与闭卷审批1
BITSBY0202	国内证买方押汇展期登记复核
BITSFO0301	福费廷买断还款登记
BITSIF0205	受理进口保理额度调整申请复核
BITSLD0710	国内证来单拒付/退单/放单取消记账
BITSJD0505	国内证委托收款退单放单闭卷复核
BITSSY0302	国内证卖方押汇还款登记复核
BITSAF0309	协议融资闭卷提交记账
BITSJD0104	国内证委托收款录入经办
BITSCP0302	出口保兑释放登记复核
BITSSG0104	国内涉外担保开立经办
BITSSP0409	国内涉外担保付款提交记账
BITSLD0402	国内证来单录入修改登记复核
BITSSF0110	出口押汇放款取消记账
BITSFT0106	国内证卖方福费廷买断放款审批1
BITSGP0106	国际对外担保/备用证来单录入审批1
BITSPF0104	出口保理预付融资录入经办
BITSDP0305	国内证代理付款还款复核
BITSLD0610	国内证来单电提不符点取消记账
BITSEF0201	出口保理额度调整申请登记
BITSIF0705	进口保理间接付款/反转让复核
BITSIC0508	进口代收拒付审批3
BITSLD0205	国内证来单付款复核
BITSFA0106	其他贸易融资（非出资）录入审批1
BITSFS0308	进口代付还款审批3
BITSXT0202	国内证通知修改登记复核
BITSBP0307	出口议付修改审批2
BITSBY0306	国内证买方押汇还款审批1
BITSDC0108	国内证开立审批3
BITSJP0104	进口代理付款放款经办
BITSSY0101	国内证卖方押汇放款登记
